brand_id,canonical_name,aliases_es,keep_original,is_action_brand,confidence,review_status,notes
2KEEP,2KEEP,2KEEP,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
3M,3M,3M,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
5Five,5Five,5Five,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
7Up,7Up,7Up,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
7th Heaven,7th Heaven,7th Heaven,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
9th Avenue,9th Avenue,9th Avenue,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
A Good Clean,A Good Clean,A Good Clean,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
A-Force,A-Force,A-Force,1,1,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Absolu Chic,Absolu Chic,Absolu Chic,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Accelerate,Accelerate,Accelerate,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Action,Action,Action,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Adidas,Adidas,Adidas,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Air Wick,Air Wick,Air Wick,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Ajax,Ajax,Ajax,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Alaise,Alaise,Alaise,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Alison & Mae,Alison & Mae,Alison & Mae,1,1,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
AllTime Favorites,AllTime Favorites,AllTime Favorites,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Aloi,Aloi,Aloi,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Alpina,Alpina,Alpina,1,0,AI_REVIEWED,NEEDS_HUMAN_REVIEW,来源：2026-08-25 品牌/IP审核；已确认商品名证据，待人工抽检。
Alvira,Alvira,Alvira,1,1,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Alvär,Alvär,Alvär,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Always,Always,Always,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Ambition,Ambition,Ambition,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Amefa,Amefa,Amefa,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Amicelli,Amicelli,Amicelli,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Androni,Androni,Androni,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Arbre Magique,Arbre Magique,Arbre Magique,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
AriZona,AriZona,AriZona,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Artico,Artico,Artico,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Asevi,Asevi,Asevi,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Asian Favorites,Asian Favorites,Asian Favorites,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Astonish,Astonish,Astonish,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Australian,Australian,Australian,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Avec,Avec,Avec,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
BIC,BIC,BIC,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
BK,BK,BK,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Balisto,Balisto,Balisto,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Barbie,Barbie,Barbie,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Barni,Barni,Barni,1,0,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
Battletron,Battletron,Battletron,1,1,REFERENCE,HUMAN_REVIEWED,2026-08-24 品牌识别清单
