scope,key,field,value,reason,source,locked,updated_at
product,3201830,name_zh_standard,拖鞋,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3217162,name_zh_standard,帽子,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3218007,name_zh_standard,墙面装饰,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3222377,name_zh_standard,K歌套装,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3225423,name_zh_standard,Jacky-M自粘假指甲,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3201830,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3217162,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3218007,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3222377,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3225423,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,2557704,name_zh_standard,Troppie果味饮料,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,2557704,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3209615,name_zh_standard,Furby Furblets电子宠物,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3209615,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3209639,name_zh_standard,Rodeo混合糖果,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3209639,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3209865,name_zh_standard,Gabby's Dollhouse玩具套装,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3209865,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3209915,name_zh_standard,Absolu Chic Paris毛毯,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3209915,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3209975,name_zh_standard,锯齿纹装饰靠垫,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3209975,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3210263,name_zh_standard,TCX防裂丙烯酸密封胶套装,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3210263,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3210285,name_zh_standard,3M Command装饰夹,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3210285,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3219656,name_zh_standard,Zed Candy USA硬糖,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3219656,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3223230,name_zh_standard,Quality Street巧克力糖果,第二阶段人工审查：类目、规格或详情足以确认商品本体,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
product,3223230,locked,1,第二阶段人工审查结果锁定，防止后续模型覆盖,STAGE2_HUMAN_REVIEW_2026-08-25,1,2026-08-25
