sku,canonical_id,name_es_raw,name_zh_standard,brand_id,cat1_es,cat2_es,cat1_zh,cat2_zh,spec_es_raw,spec_zh_standard,source_hash,translation_status,review_status,locked,source_first_seen,source_last_seen,updated_at,notes
100241,ACT0100241,Paño de microfibra para el suelo Spargo,微纤维地板清洁布,Spargo,Hogar,Artículos de limpieza,家务清洁,清洁用品,50x60 cm | varios colores,50×60cm｜多种颜色,9074e526198d6d5c78b3385fa7ef414fde23b5de2c19cdf8c70eb675f708a1a4,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
102235,ACT0102235,Paños de microfibra Spargo,微纤维清洁布,Spargo,Hogar,Artículos de limpieza,家务清洁,清洁用品,3 unidades | varios colores,3件｜多种颜色,1fac2ef9c75703c05fbd5cc3caa3869af64ac864430140594d77ef46a1e105b6,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
10280,ACT0010280,Gomas elásticas Office Essentials,橡皮筋,Office Essentials,Oficina y papelería,Accesorios de oficina,办公文具,办公配件,100 gramos,100g,efa6f058295567cec1f78d50b024ee3f53d71036a734d1dd557d32deeee4abef,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
1030003,ACT1030003,Sistema de fregado de suelos con microfibras Spargo,微纤维地板清洁系统,Spargo,Hogar,Artículos de limpieza,家务清洁,清洁用品,2 piezas | varios colores,2件｜多种颜色,cf40afdb5e4c025ab260b6930a6f7e9bd93468ca78380b368b515ac0731a0507,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
1191122,ACT1191122,Chaleco de seguridad,反光安全背心,,Bricolaje,Coche,DIY五金,汽车用品,Talla XL,尺码 XL,59dca19ca491db1eb9657a5ffc53f65980b5d038576c62a8e776288a645e3d0b,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
1194003,ACT1194003,Poncho de lluvia,雨披,,Viajes,Ropa para la lluvia,旅行用品,雨衣,Talla única,均码,633036e4c173e4a0a80f44fb2e6d284e48867190b5eb7950731b377655fd7e5f,MODEL_TRANSLATED,UNREVIEWED,0,2026-07-01,2026-08-25,2026-08-25,
1200021,ACT1200021,Mini set de barnizado,迷你上漆套装,,Bricolaje,Complementos de pintura,DIY五金,涂料配件,4 piezas,4件,4928b32b5ced2100e745fe73d84958f06327661745ad18a7f0840ce3e2ae4fb5,MODEL_TRANSLATED,UNREVIEWED,0,2026-04-05,2026-08-25,2026-08-25,
1200029,ACT1200029,Set de accesorios de pintura,涂料配件套装,,Bricolaje,Complementos de pintura,DIY五金,涂料配件,3 piezas,3件,044a9035fbcc268da5f3b5e72d9b158d20e46b7a61f90416d503deb909fd5560,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
1202525,ACT1202525,Espátulas de masilla,腻子刮刀套装,,Bricolaje,Herramientas,DIY五金,工具,3 unidades,3件,3b0f8d586ddbb832748a87190c705e972f8f92fae49625e608a13252b5910c1f,MODEL_TRANSLATED,UNREVIEWED,0,2026-07-27,2026-08-25,2026-08-25,
1221001,ACT1221001,Rodillos de pintura pequeños Spectrum,小号涂料滚筒,Spectrum,Bricolaje,Complementos de pintura,DIY五金,涂料配件,5 cm | 5 unidades,5cm｜5件,96493ee4b8a1c04054d240d8d86f89f52ab0c15d0cd12e5c2f8ee1d09d189c6c,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
1221151,ACT1221151,Palo de escoba de madera,木质扫帚杆,,Hogar,Artículos de limpieza,家务清洁,清洁用品,120 cm,120cm,0101765b57fa475c9dc63a4b5d0655399a736dfec7753490a9d1e87e67d82315,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
1221158,ACT1221158,Rodillos para barnizar,上漆滚筒,,Bricolaje,Complementos de pintura,DIY五金,涂料配件,5 unidades | extrafinos,5件｜超细,4971e56d631bf0b9ddcbdd98c0684e716406a4a6069071e00815f6768c98fbab,MODEL_TRANSLATED,UNREVIEWED,0,2026-01-09,2026-08-25,2026-08-25,
