sku,damaged_fields,status,notes
2513845,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
2530812,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
2539018,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
2546793,spec_es_raw,SOURCE_POLLUTED,网页 UI 文案错位进入规格字段；已清空该西语字段，禁止当作商品事实
2548454,spec_es_raw,SOURCE_POLLUTED,网页 UI 文案错位进入规格字段；已清空该西语字段，禁止当作商品事实
2548558,spec_es_raw,SOURCE_POLLUTED,网页 UI 文案错位进入规格字段；已清空该西语字段，禁止当作商品事实
2552207,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
2552715,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
2552936,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
2554035,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
2557704,spec_es_raw,SOURCE_POLLUTED,网页 UI 文案错位进入规格字段；已清空该西语字段，禁止当作商品事实
2558856,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
2574198,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
2574845,spec_es_raw,SOURCE_POLLUTED,网页 UI 文案错位进入规格字段；已清空该西语字段，禁止当作商品事实
2576783,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
2577222,spec_es_raw,SOURCE_POLLUTED,网页 UI 文案错位进入规格字段；已清空该西语字段，禁止当作商品事实
2581703,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
299750,spec_es_raw,SOURCE_POLLUTED,网页 UI 文案错位进入规格字段；已清空该西语字段，禁止当作商品事实
3000090,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3005291,spec_es_raw,SOURCE_POLLUTED,网页 UI 文案错位进入规格字段；已清空该西语字段，禁止当作商品事实
3008201,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3008363,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3008498,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3008518,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3010070,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3010580,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3014120,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3016140,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3016281,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3202572,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3202708,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3204228,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3204992,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3206198,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3207586,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3207655,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3207788,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3208106,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3208376,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3208573,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3208870,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3208926,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3209400,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3209433,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3211439,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3211541,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3212083,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3212155,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3212463,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3213473,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3213755,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3213797,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3213939,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
3214049,"cat1_es,spec_es_raw",SOURCE_DAMAGED,未找到可信西语原始证据；禁止将中文反向翻译成西语
